c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1826,33485,Llano Grande,,,,,,,,,
1826,35954,J. Trinidad García de la Cadena (San Rafael),,,,,,,,,
1826,37643,Puerta de La Aguililla,,,,,,,,,
1826,40054,Del Valle,,,,,,,,,
1826,43720,Acaxochitlán Centro,,,,,,,,,
1826,52172,San Salvador,,,,,,,,,
1826,60475,La Sidra,,,,,,,,,
1826,62743,Ampliación 5 de Febrero,,,,,,,,,
1826,63548,Ta Puaa Ta,,,,,,,,,
1826,67200,Evolución,,,,,,,,,
1826,69806,Plan de Guadalupe,,,,,,,,,
1826,74714,El Salado,,,,,,,,,
1826,76755,Los Girasoles,,,,,,,,,
1826,79324,La Pista,,,,,,,,,
1826,82806,Pedro Ibarra,,,,,,,,,
1826,83960,Las Pilas,,,,,,,,,
1826,86464,El Alacrán,,,,,,,,,
1826,89750,El Azúcar,,,,,,,,,
1826,97249,Núcleo Mulsay,,,,,,,,,
1827,25280,República Norte,,,,,,,,,
1827,30844,El Campito,,,,,,,,,
1827,33480,Baborigame,,,,,,,,,
1827,35953,Ricardo Flores Magón,,,,,,,,,
1827,37644,El Pájaro,,,,,,,,,
1827,43728,San Francisco Atotonilco,,,,,,,,,
1827,47192,El Viborero,,,,,,,,,
1827,52172,Explanada del Parque,,,,,,,,,
1827,60480,La Soledad,,,,,,,,,
1827,62733,Cuauhtémoc,,,,,,,,,
1827,63549,Tapanco,,,,,,,,,
1827,67198,Fomerrey 3,,,,,,,,,
1827,69806,San Isidro Juquila,,,,,,,,,
1827,74716,Teutla,,,,,,,,,
1827,79326,Derramaderos,,,,,,,,,
1827,82808,Marcelo Loya,,,,,,,,,
1827,84125,El Rastro,,,,,,,,,
1827,86461,La Trinidad,,,,,,,,,
1827,93604,Dante Delgado,,,,,,,,,
1827,97285,Plan de Ayala Sur III,,,,,,,,,
1828,21379,Jardines de La Arboleda,,,,,,,,,
1828,25203,Las Magnolias,,,,,,,,,
1828,30850,Frontera Hidalgo,,,,,,,,,
1828,33488,Coloradas de la Virgen,,,,,,,,,
1828,35960,San José de Zaragoza,,,,,,,,,
1828,37644,El Puerquito,,,,,,,,,
1828,40060,Adolfo López Mateos,,,,,,,,,
1828,43728,San Juan,,,,,,,,,
1828,47195,Jaquetas,,,,,,,,,
1828,60485,Zirimbo,,,,,,,,,
1828,62732,Ignacio Zaragoza,,,,,,,,,
1828,63544,Tapeistes,,,,,,,,,
1828,67183,Garza Melo,,,,,,,,,
1828,69807,Peña Colorada,,,,,,,,,
1828,74720,Huehuetlán el Chico,,,,,,,,,
1828,76755,Nahuil Ollin,,,,,,,,,
1828,79326,Pedregal,,,,,,,,,
1828,82808,Valle Nuevo,,,,,,,,,
1828,84125,El Estadio,,,,,,,,,
1828,89750,Xicotencatl,,,,,,,,,
1828,97205,Privada Campestre Chuburna,,,,,,,,,
1829,21379,Las Bugambilias Inn,,,,,,,,,
1829,25260,Los Maestros,,,,,,,,,
1829,30850,Frontera Hidalgo,,,,,,,,,
1829,33485,Coscomates,,,,,,,,,
1829,35965,Enrique Flores Magón,,,,,,,,,
1829,37644,Potrero,,,,,,,,,
1829,40060,Jardines,,,,,,,,,
1829,43726,San Miguel del Resgate,,,,,,,,,
1829,47195,La Trinidad,,,,,,,,,
